pincode,latitude,longitude,city,state
400012,19.0219116210937,72.8373235066731,Mumbai,Maharashtra
400013,19.4300804138183,73.15658315022783,Mumbai,Maharashtra
400014,19.01775627136224,72.84583129882806,Mumbai,Maharashtra
400016,18.93177452087396,73.04353790283197,Thane,Maharashtra
400017,19.0450935363769,72.8581161499023,Mumbai,Maharashtra
400018,18.998737335205,72.82177734375,Mumbai,Maharashtra
400019,19.025980631510365,72.8522491455078,Mumbai,Maharashtra
400020,18.942697525024375,72.82810211181638,Mumbai,Maharashtra
400021,18.925293445587126,72.82624053955075,Mumbai,Maharashtra
400022,19.03980364118299,72.86870247977117,Mumbai,Maharashtra
400023,18.9231872558593,72.8281021118164,Mumbai,Maharashtra
400024,19.0627479553222,72.881607055664,Kurla East,Maharashtra
400025,19.014713287353448,72.828046798706,Mumbai,Maharashtra
400027,18.9775505065917,72.82756042480464,Mumbai,Maharashtra
400028,19.0216410500662,72.8389685494559,Mumbai,Maharashtra
400029,19.042064666747997,72.84276580810544,Mumbai,Maharashtra
400036,18.962104797363235,72.80852762858068,Mumbai,Maharashtra
400037,19.024337768554652,72.8639984130859,Mumbai,Mumbai
400042,19.1325168609619,72.93693542480464,Bhandup,Maharashtra
400043,19.06509304046625,72.92056274414055,Mumbai,Maharashtra
400049,19.114206949869768,72.83244323730467,Mumbai,Mumbai
400050,19.060488019670714,72.83525848388668,Mumbai,Maharashtra
400051,19.060601552327434,72.85290527343746,Mumbai,Maharashtra
400052,19.0728157361348,72.85389836629228,Mumbai,Maharashtra
400053,19.14241409301754,72.83192770821704,Andheri West,Maharashtra
400054,19.047307491302426,72.83653640747065,Mumbai,Maharashtra
400055,19.08108711242671,72.84914059109153,Mumbai,Maharashtra
400056,19.08087897300715,72.90560245513912,Mumbai,Maharashtra
400057,19.1015982627868,72.84698104858393,Mumbai,Maharashtra
400058,19.12388674418125,72.83682632446283,Mumbai,Maharashtra
400059,19.781948725382403,74.93994649251296,Mumbai,Maharashtra
400060,19.136711120605426,72.85366058349607,Mumbai,Maharashtra
400061,19.158454895019467,72.8664169311523,Mumbai,Maharashtra
400062,19.1610736846923,72.84558105468744,Mumbai,Maharashtra
400063,19.172060012817333,72.86237970987953,Goregaon East,Mumbai
400064,19.15017672947469,72.95813478742322,Mumbai,Maharashtra
400066,19.2136363983154,72.87242889404293,Mumbai,Mumbai
400067,19.21044423029968,72.83785658616281,Mumbai,Maharashtra
400068,19.253126356336754,72.8630235460069,Dahisar West,Maharashtra
400069,19.1197834014892,72.8490295410156,Mumbai,Maharashtra
400070,19.077015399932826,72.8823566436767,Mumbai,Maharashtra
400071,19.077567173884415,72.91161405123194,Mumbai,Maharashtra
400072,19.109916051228797,72.8902180989583,Mumbai,Maharashtra
400074,19.047505696614564,72.89841969807937,Mumbai,Maharashtra
400075,19.0797653198242,72.9059448242187,Mumbai,Maharashtra
400076,19.129151916503837,72.91755065917964,Powai,Maharashtra
400077,19.080035315619522,72.90665351019962,Mumbai,Maharashtra
400078,19.15174674987788,72.93513336181637,Mumbai,Maharashtra
400079,19.111530303955,72.9180755615234,Mumbai,Maharashtra
400080,19.128673426310172,73.02326761881504,Mulund,Maharashtra
400081,19.17307281494135,72.96117019653317,Mulund East,Maharashtra
400082,19.1731033325195,72.94187164306635,Mumbai,Maharashtra
400083,19.1063899993896,72.9677810668945,Vikhroli,Maharashtra
400084,19.13956642150875,72.93634033203125,Ghatkopar West,Maharashtra
400086,19.08926264444985,72.90313847859694,Mumbai,Maharashtra
400088,19.0459899902343,72.9092559814453,Mumbai,Maharashtra
400089,19.063822428385368,72.90149434407546,Mumbai,Maharashtra
400091,19.227045059204034,72.84404246012366,Borivali West,Maharashtra
400092,19.22443809509272,72.84776611328121,Mumbai,Maharashtra
400093,19.116353988647397,72.87280273437494,Mumbai,Maharashtra
400094,19.0453605651855,72.940444946289,Chembur,Mumbai
400095,19.19523938496903,72.81933593749996,Mumbai,Maharashtra
400097,19.17313342624236,72.87361992730033,Mumbai,Maharashtra
400098,19.0791835784912,72.8584747314453,Mumbai,Maharashtra
400099,19.111400604248,72.8673706054687,Mumbai,Maharashtra
400101,19.188724181231283,72.87087563907394,Mumbai,Maharashtra
400102,19.1300163269042,72.8473205566406,Mumbai,Maharashtra
400103,19.24418703715,72.85173034667963,Mumbai,Maharashtra
400104,19.166796684265083,72.84740193684893,Mumbai,Maharashtra
400117,19.0432205200195,72.8518371582031,Mumbai,Maharashtra
400601,19.23421072959894,72.95431613922115,Thane,Maharashtra
